timestamp,open,high,low,close,volume
1777593600000,4626.305,4628.565,4623.035,4627.595,0.1294
1777593900000,4627.545,4630.915,4625.235,4626.705,0.1041
1777594200000,4626.725,4627.495,4620.615,4622.215,0.1129
1777594500000,4622.185,4627.315,4620.795,4625.905,0.1059
1777594800000,4625.885,4628.305,4623.205,4623.205,0.0862
1777595100000,4623.165,4625.295,4622.908,4623.385,0.0938
1777595400000,4623.418,4624.685,4621.055,4621.425,0.0899
1777595700000,4621.395,4622.055,4618.335,4620.955,0.0868
1777596000000,4620.915,4621.835,4618.715,4620.585,0.0563
1777596300000,4620.605,4623.255,4620.435,4622.045,0.0747
1777596600000,4622.015,4624.105,4620.725,4624.105,0.0689
1777596900000,4624.195,4624.975,4619.425,4619.545,0.1505
1777597200000,4619.575,4620.785,4616.715,4617.355,0.1285
1777597500000,4617.285,4619.485,4615.935,4617.795,0.0711
1777597800000,4617.825,4619.255,4615.385,4618.305,0.0814
1777598100000,4618.235,4618.865,4614.255,4614.355,0.0789
1777598400000,4614.325,4616.465,4613.735,4614.835,0.085
1777598700000,4614.905,4616.515,4614.345,4616.165,0.0646
1777599000000,4616.145,4620.705,4615.935,4619.285,0.092
1777599300000,4619.255,4621.245,4618.895,4620.915,0.0637
1777599600000,4620.895,4621.685,4618.815,4619.875,0.0616
1777599900000,4619.905,4620.555,4618.785,4619.765,0.0566
1777600200000,4619.685,4621.435,4618.585,4619.155,0.0603
1777600500000,4619.085,4622.045,4618.625,4620.765,0.0606
1777600800000,4620.725,4625.165,4619.585,4624.475,0.0631
1777601100000,4624.505,4626.015,4623.215,4625.985,0.0958
1777601400000,4625.955,4634.305,4625.955,4630.575,0.1137
1777601700000,4630.635,4635.695,4630.048,4633.325,0.0938
1777602000000,4633.375,4633.785,4628.575,4629.705,0.0845
1777602300000,4629.745,4630.945,4628.118,4629.125,0.0539
1777602600000,4629.105,4630.825,4628.335,4628.515,0.0645
1777602900000,4628.545,4630.318,4627.685,4628.085,0.0594
1777603200000,4628.045,4628.525,4623.585,4624.055,0.072
1777603500000,4624.035,4624.285,4619.085,4620.595,0.0825
1777603800000,4620.535,4620.635,4617.918,4619.685,0.0935
1777604100000,4619.735,4619.735,4616.235,4618.875,0.0662
1777604400000,4618.845,4620.325,4617.535,4618.365,0.0708
1777604700000,4618.335,4619.485,4617.445,4618.815,0.0403
1777605000000,4618.785,4621.085,4618.705,4620.465,0.057
1777605300000,4620.305,4622.375,4620.258,4620.258,0.0729
1777605600000,4620.258,4624.205,4620.248,4623.295,0.06
1777605900000,4623.345,4626.535,4622.875,4625.975,0.0476
1777606200000,4626.065,4630.205,4626.065,4630.055,0.0974
1777606500000,4630.035,4631.705,4629.415,4630.085,0.0729
1777606800000,4630.005,4630.175,4625.135,4625.935,0.1003
1777607100000,4625.915,4627.598,4625.558,4626.365,0.0605
1777607400000,4626.275,4627.745,4625.435,4625.495,0.0416
1777607700000,4625.415,4627.815,4625.415,4626.415,0.0547
1777608000000,4626.435,4628.438,4623.865,4624.455,0.0833
1777608300000,4624.555,4626.265,4619.615,4620.715,0.0869
1777608600000,4620.665,4623.105,4619.895,4621.485,0.0627
1777608900000,4621.455,4623.005,4620.925,4622.895,0.0419
1777609200000,4622.775,4623.195,4620.645,4621.245,0.04
1777609500000,4621.335,4621.775,4616.865,4617.235,0.0886
1777609800000,4617.215,4617.775,4612.005,4613.905,0.1015
1777610100000,4613.875,4617.145,4613.535,4615.645,0.0787
1777610400000,4615.685,4615.815,4611.905,4613.245,0.0618
1777610700000,4613.185,4614.285,4610.295,4610.555,0.0622
1777611000000,4610.585,4610.635,4609.065,4609.965,0.0559
1777611300000,4610.035,4611.335,4608.865,4608.865,0.0518
1777611600000,4608.885,4609.395,4607.235,4608.775,0.0746
1777611900000,4608.795,4613.845,4608.685,4612.415,0.0758
1777612200000,4612.485,4614.525,4612.485,4614.025,0.0513
1777612500000,4614.045,4614.415,4611.405,4613.695,0.0489
1777612800000,4613.725,4615.035,4613.595,4614.295,0.0462
1777613100000,4614.315,4615.875,4612.235,4614.355,0.0457
1777613400000,4614.375,4615.055,4612.405,4614.585,0.0573
1777613700000,4614.535,4614.605,4609.105,4610.525,0.0729
1777614000000,4610.565,4611.575,4609.285,4609.635,0.0637
1777614300000,4609.615,4613.285,4607.025,4611.695,0.0689
1777614600000,4611.665,4611.848,4608.085,4608.185,0.0517
1777614900000,4607.975,4607.995,4602.675,4604.635,0.1131
1777615200000,4604.655,4607.615,4603.655,4604.985,0.1162
1777615500000,4605.025,4606.965,4601.335,4602.815,0.1038
