timestamp,open,high,low,close,volume
1388617200000,1203.612,1204.393,1202.302,1203.942,0.042
1388617500000,1204.042,1204.042,1203.433,1203.742,0.037
1388617800000,1203.742,1205.163,1203.653,1204.542,0.0854
1388618100000,1204.542,1205.242,1204.542,1205.042,0.0209
1388618400000,1205.042,1205.419,1205.042,1205.402,0.0126
1388618700000,1205.421,1205.542,1205.353,1205.458,0.0063
1388619000000,1205.489,1205.742,1205.209,1205.365,0.0137
1388619300000,1205.378,1205.642,1205.242,1205.49,0.0106
1388619600000,1205.501,1205.742,1205.474,1205.742,0.0136
1388619900000,1205.742,1205.745,1205.609,1205.642,0.0087
1388620200000,1205.642,1205.763,1205.642,1205.742,0.0119
1388620500000,1205.743,1205.883,1205.743,1205.883,0.0078
1388620800000,1205.913,1205.913,1205.056,1205.063,0.0325
1388621100000,1205.063,1205.223,1205.043,1205.223,0.0106
1388621400000,1205.223,1205.223,1204.893,1205.063,0.0086
1388621700000,1205.063,1205.623,1204.973,1205.623,0.0237
1388622000000,1205.623,1205.633,1205.223,1205.223,0.0228
1388622300000,1205.223,1205.293,1205.133,1205.163,0.0112
1388622600000,1205.163,1205.163,1205.053,1205.053,0.0092
1388622900000,1205.053,1205.283,1204.973,1205.103,0.0247
1388623200000,1205.103,1205.428,1205.103,1205.273,0.0102
1388623500000,1205.273,1205.303,1205.093,1205.244,0.0072
1388623800000,1205.242,1205.263,1205.113,1205.263,0.0124
1388624100000,1205.263,1207.253,1205.242,1207.013,0.0539
1388624400000,1207.042,1210.783,1207.042,1210.034,0.1478
1388624700000,1210.023,1210.778,1210.009,1210.478,0.0592
1388625000000,1210.473,1213.442,1210.393,1212.742,0.0852
1388625300000,1212.743,1213.842,1211.283,1211.303,0.1759
1388625600000,1211.342,1212.243,1211.242,1212.042,0.0996
1388625900000,1212.013,1213.767,1211.842,1213.042,0.1015
1388626200000,1213.042,1214.64,1213.042,1213.593,0.0752
1388626500000,1213.593,1213.593,1212.15,1212.802,0.0619
1388626800000,1212.813,1213.64,1212.274,1212.727,0.0393
1388627100000,1212.727,1212.727,1211.914,1211.953,0.0319
1388627400000,1211.953,1212.463,1211.683,1212.283,0.0367
1388627700000,1212.283,1212.505,1212.173,1212.344,0.0165
1388628000000,1212.364,1212.542,1212.194,1212.244,0.0128
1388628300000,1212.244,1213.043,1212.244,1212.534,0.0274
1388628600000,1212.444,1212.841,1212.176,1212.337,0.0136
1388628900000,1212.326,1213.064,1212.203,1213.056,0.0097
1388629200000,1213.056,1213.305,1212.762,1212.851,0.0142
1388629500000,1212.861,1213.444,1211.91,1213.379,0.0268
1388629800000,1213.404,1213.757,1212.804,1213.736,0.0385
1388630100000,1213.76,1213.808,1212.577,1213.563,0.0514
1388630400000,1213.563,1214.362,1213.153,1214.322,0.0371
1388630700000,1214.337,1214.898,1214.125,1214.543,0.059
1388631000000,1214.563,1229.153,1214.553,1224.993,0.1672
1388631300000,1225.063,1225.173,1221.933,1223.033,0.1335
1388631600000,1223.046,1223.335,1222.537,1222.903,0.0485
1388631900000,1222.903,1223.133,1221.798,1222.073,0.0601
1388632200000,1222.073,1222.273,1221.383,1221.973,0.0729
1388632500000,1221.993,1222.993,1221.873,1222.993,0.0811
1388632800000,1222.993,1223.293,1222.343,1222.623,0.0547
1388633100000,1222.623,1224.443,1222.613,1223.233,0.0918
1388633400000,1223.233,1224.023,1223.093,1223.643,0.0518
1388633700000,1223.673,1227.753,1223.633,1224.983,0.1619
1388634000000,1224.953,1225.113,1223.333,1223.863,0.0876
1388634300000,1223.863,1224.453,1223.799,1223.853,0.0559
1388634600000,1223.873,1223.983,1222.993,1223.763,0.0351
1388634900000,1223.783,1224.983,1222.883,1223.113,0.0602
1388635200000,1223.113,1224.287,1223.113,1224.083,0.0324
1388635500000,1224.096,1224.261,1223.513,1223.843,0.0308
1388635800000,1223.843,1223.843,1223.213,1223.38,0.0285
1388636100000,1223.403,1224.1,1223.353,1223.713,0.0244
1388636400000,1223.713,1223.713,1222.441,1222.451,0.0405
1388636700000,1222.504,1223.013,1221.953,1222.043,0.0359
1388637000000,1222.043,1222.653,1221.943,1222.133,0.0433
1388637300000,1222.133,1222.573,1221.983,1222.523,0.0271
1388637600000,1222.523,1222.553,1221.733,1221.973,0.0398
1388637900000,1221.973,1222.053,1221.43,1221.49,0.022
1388638200000,1221.545,1221.762,1221.275,1221.762,0.0308
1388638500000,1221.781,1222.108,1221.638,1222.108,0.0172
1388638800000,1222.079,1222.385,1222.05,1222.273,0.0171
1388639100000,1222.256,1222.574,1222.033,1222.126,0.0112
1388639400000,1222.076,1222.166,1221.635,1221.635,0.0129
1388639700000,1221.622,1222.37,1221.517,1222.163,0.0241
1388640000000,1222.163,1222.237,1221.973,1222.066,0.0177
1388640300000,1222.063,1222.73,1222.023,1222.547,0.0149
1388640600000,1222.547,1223.661,1222.546,1222.993,0.058
1388640900000,1222.981,1224.763,1222.676,1224.463,0.0707
1388641200000,1224.463,1225.783,1223.921,1225.583,0.0762
1388641500000,1225.519,1227.463,1225.288,1226.392,0.0702
1388641800000,1226.392,1226.543,1226.173,1226.242,0.029
1388642100000,1226.242,1226.52,1226.093,1226.213,0.0352
1388642400000,1226.242,1226.442,1224.479,1224.766,0.0851
1388642700000,1224.778,1226.169,1224.36,1225.138,0.0577
1388643000000,1225.113,1226.471,1225.016,1225.783,0.0668
1388643300000,1225.77,1226.199,1225.093,1226.151,0.038
1388643600000,1226.175,1226.198,1225.201,1225.341,0.0624
1388643900000,1225.322,1225.631,1225.023,1225.519,0.0269
1388644200000,1225.495,1226.046,1225.156,1225.627,0.1457
1388644500000,1225.644,1226.255,1225.285,1226.242,0.1731
1388644800000,1226.277,1226.542,1225.983,1226.124,0.1554
1388645100000,1226.123,1226.298,1225.962,1226.164,0.172
1388645400000,1226.18,1226.242,1225.392,1225.474,0.1983
1388645700000,1225.442,1225.555,1224.623,1225.144,0.2932
1388646000000,1225.162,1228.442,1224.989,1225.226,0.2301
1388646300000,1225.226,1225.226,1222.713,1224.016,0.1907
1388646600000,1223.998,1224.57,1223.343,1224.293,0.1401
1388646900000,1224.293,1224.656,1223.538,1224.243,0.1137
1388647200000,1224.243,1224.513,1223.443,1223.883,0.1109
1388647500000,1223.883,1223.921,1222.764,1222.853,0.097
1388647800000,1222.823,1223.069,1221.803,1222.09,0.1243
1388648100000,1222.09,1222.09,1221.518,1221.549,0.1221
1388648400000,1221.533,1221.893,1220.611,1221.893,0.147
1388648700000,1221.849,1221.849,1220.807,1221.257,0.1234
1388649000000,1221.283,1223.003,1221.193,1222.967,0.1431
1388649300000,1222.973,1223.083,1221.866,1222.953,0.1379
1388649600000,1222.966,1223.915,1222.738,1222.923,0.1285
1388649900000,1222.911,1223.713,1222.853,1223.473,0.1059
1388650200000,1223.479,1223.977,1221.943,1222.176,0.0754
1388650500000,1222.242,1222.373,1221.033,1221.383,0.066
1388650800000,1221.342,1222.123,1219.783,1221.873,0.1211
1388651100000,1221.873,1221.873,1220.553,1220.653,0.0724
1388651400000,1220.653,1222.033,1220.563,1221.663,0.0615
1388651700000,1221.663,1222.263,1221.663,1222.163,0.0469
1388652000000,1222.142,1222.513,1221.742,1222.433,0.0424
1388652300000,1222.442,1222.533,1222.195,1222.393,0.0519
1388652600000,1222.393,1222.393,1221.693,1221.803,0.0527
1388652900000,1221.803,1222.293,1221.773,1221.783,0.0327
1388653200000,1221.783,1222.053,1220.993,1221.253,0.0769
1388653500000,1221.253,1221.484,1219.694,1220.073,0.1029
1388653800000,1220.093,1220.773,1220.093,1220.314,0.0359
1388654100000,1220.343,1220.813,1219.903,1220.703,0.0615
1388654400000,1220.703,1220.703,1220.403,1220.673,0.0306
1388654700000,1220.718,1220.747,1220.443,1220.503,0.0258
1388655000000,1220.503,1220.573,1219.902,1220.253,0.04
1388655300000,1220.253,1220.263,1219.307,1219.563,0.0493
1388655600000,1219.533,1219.793,1219.233,1219.473,0.0411
1388655900000,1219.473,1220.853,1219.363,1220.473,0.0698
1388656200000,1220.481,1221.563,1220.313,1221.373,0.0781
1388656500000,1221.373,1221.623,1221.223,1221.353,0.037
1388656800000,1221.373,1221.583,1220.993,1220.993,0.0403
1388657100000,1220.993,1221.293,1220.422,1220.903,0.0439
1388657400000,1220.903,1220.903,1220.133,1220.283,0.0584
1388657700000,1220.263,1220.523,1220.033,1220.073,0.0391
1388658000000,1220.082,1220.313,1220.041,1220.139,0.0399
1388658300000,1220.139,1220.212,1219.842,1219.865,0.046
1388658600000,1219.865,1220.298,1219.245,1220.042,0.0948
