timestamp,open,high,low,close,volume
1304283600000,1563.348,1563.388,1562.476,1562.677,0.1811
1304283900000,1562.736,1562.844,1562.648,1562.736,0.0327
1304284200000,1562.758,1563.438,1562.758,1563.056,0.0553
1304284800000,1563.088,1563.463,1563.088,1563.389,0.0396
1304285100000,1563.358,1563.447,1563.26,1563.404,0.0428
1304285400000,1563.348,1563.472,1563.28,1563.394,0.0841
1304285700000,1563.352,1563.379,1563.263,1563.317,0.0353
1304286000000,1563.352,1563.519,1563.28,1563.393,0.0815
1304286300000,1563.368,1563.444,1563.338,1563.352,0.0127
1304286600000,1563.377,1563.448,1563.28,1563.334,0.0367
1304286900000,1563.412,1563.773,1563.412,1563.693,0.1001
1304287200000,1563.526,1572.015,1563.526,1571.825,0.2456
1304287500000,1571.855,1572.045,1569.275,1569.705,0.1992
1304287800000,1569.723,1571.923,1569.223,1571.923,0.1954
1304288100000,1571.923,1574.823,1571.807,1574.623,0.2185
1304288400000,1574.623,1576.415,1573.945,1573.973,0.2295
1304288700000,1573.973,1574.273,1568.195,1569.855,0.2702
1304289000000,1569.845,1570.028,1558.28,1558.515,0.1605
1304289300000,1558.773,1562.601,1556.68,1561.523,0.11
1304289600000,1561.487,1564.273,1559.776,1561.323,0.1136
1304289900000,1561.323,1561.723,1559.23,1559.323,0.0945
1304290200000,1559.323,1559.723,1554.83,1557.573,0.1178
1304290500000,1557.623,1558.834,1557.123,1557.848,0.0875
1304290800000,1557.748,1557.888,1544.152,1544.352,0.204
1304291100000,1544.452,1550.052,1544.452,1549.852,0.1352
1304291400000,1549.852,1551.252,1548.673,1550.852,0.1197
1304291700000,1550.823,1553.852,1550.352,1553.152,0.1108
1304292000000,1553.023,1553.352,1550.073,1550.952,0.1162
1304292300000,1550.852,1554.123,1550.852,1554.123,0.1228
1304292600000,1554.173,1555.073,1552.273,1552.373,0.12
1304292900000,1552.373,1555.373,1552.373,1554.373,0.1231
1304293200000,1554.373,1556.123,1553.841,1554.873,0.1352
1304293500000,1554.923,1555.652,1553.53,1554.423,0.0892
1304293800000,1554.423,1555.652,1553.98,1555.273,0.0512
1304294100000,1555.552,1556.473,1553.283,1553.283,0.1127
1304294400000,1552.907,1553.05,1550.81,1551.52,0.1519
1304294700000,1551.541,1553.544,1551.269,1553.418,0.1465
1304295000000,1553.455,1554.395,1552.621,1554.155,0.1045
1304295300000,1554.141,1554.32,1552.983,1553.315,0.0952
1304295600000,1553.366,1555.379,1553.028,1555.001,0.1586
1304295900000,1554.925,1555.158,1553.173,1554.286,0.1445
1304296200000,1554.149,1554.199,1552.366,1553.211,0.1294
1304296500000,1553.188,1554.169,1553.013,1553.981,0.1284
1304296800000,1553.984,1554.103,1551.725,1551.73,0.1114
1304297100000,1551.762,1551.762,1548.501,1549.339,0.1656
1304297400000,1549.363,1549.755,1544.667,1544.917,0.2
