timestamp,open,high,low,close,volume
1199145600000,833.022,833.163,832.97,833.013,0.0156
1199145900000,832.972,833.105,832.949,833.087,0.0106
1199146200000,833.002,833.14,832.938,833.074,0.016
1199146500000,833.008,833.195,832.989,833.098,0.0132
1199146800000,833.047,833.195,833.021,833.022,0.0099
1199147100000,833.052,833.142,833.017,833.142,0.0105
1199147400000,833.02,833.187,833.02,833.045,0.0164
1199147700000,833.099,833.204,833.012,833.016,0.0194
1199148000000,833.02,833.17,832.987,832.987,0.0069
1199148300000,833.08,833.175,833.008,833.058,0.0081
1199148600000,833.072,833.145,833.005,833.005,0.0163
1199148900000,833.027,833.177,832.993,833.006,0.0086
1199149200000,832.982,833.13,832.982,833.13,0.0144
1199149500000,833.053,833.14,832.944,833.023,0.0145
1199149800000,833.047,833.134,833.023,833.124,0.0088
1199150100000,833.094,833.204,833.027,833.131,0.016
1199150400000,833.054,833.141,832.998,833.066,0.0139
1199150700000,832.993,833.102,832.993,833.094,0.0064
1199151000000,833.02,833.121,833.008,833.1,0.0213
1199151300000,833.127,833.203,833.024,833.203,0.0169
1199151600000,833.074,833.12,833.018,833.12,0.0118
1199151900000,833.104,833.15,833.024,833.129,0.0105
1199152200000,833.123,833.123,833.033,833.033,0.0095
1199152500000,833.08,833.138,833.035,833.103,0.0095
1199152800000,833.099,833.12,833.022,833.023,0.0196
1199153100000,832.999,833.072,832.971,833.042,0.0117
1199153400000,832.992,833.092,832.992,833.004,0.005
1199153700000,833.059,833.112,832.986,833.022,0.01
1199154000000,833.095,833.095,832.989,832.989,0.0109
1199154300000,833.066,833.118,832.996,833.114,0.0123
1199154600000,833.02,833.12,833.02,833.097,0.0066
1199154900000,833.048,833.188,833.022,833.099,0.0127
1199155200000,833.071,833.17,833,833.023,0.0146
1199155500000,833.043,833.164,833.003,833.061,0.0179
1199155800000,832.944,833.143,832.944,833.056,0.0154
1199156100000,833.084,833.132,833.029,833.052,0.0035
1199156400000,833.049,833.128,833.01,833.054,0.0175
1199156700000,833.051,833.128,833.02,833.045,0.0106
1199157000000,833.048,833.183,833.027,833.034,0.0133
1199157300000,833.056,833.132,833.028,833.07,0.0115
1199157600000,833.022,833.147,832.976,833.121,0.0264
1199157900000,833.15,833.155,833.036,833.105,0.0124
1199158200000,833.05,833.098,833.022,833.09,0.0056
1199158500000,833.015,833.18,833.013,833.121,0.0233
1199158800000,833.144,833.164,833.021,833.071,0.0235
1199159100000,833.055,833.149,833.041,833.125,0.0045
1199159400000,833.123,833.202,833.026,833.076,0.0266
1199159700000,833.077,833.173,833.025,833.041,0.0068
1199160000000,833.099,833.166,833.004,833.022,0.022
1199160300000,833.243,833.243,832.988,833.05,0.02
1199160600000,833.023,833.195,833.022,833.098,0.0142
1199160900000,833.094,833.096,833.017,833.096,0.0069
1199161200000,833.07,833.134,833.022,833.048,0.0129
1199161500000,833.125,833.141,833.04,833.068,0.0047
1199161800000,833.144,833.144,833.01,833.033,0.022
1199162100000,833.079,833.134,832.935,833.085,0.0302
1199162400000,833.016,833.182,833.016,833.037,0.0192
1199162700000,833.04,833.12,833.024,833.024,0.0064
1199163000000,833.096,833.141,833.022,833.117,0.0171
1199163300000,833.115,833.19,832.964,832.989,0.0231
1199163600000,833.041,833.147,832.955,833.087,0.0218
1199163900000,833.063,833.188,833.016,833.139,0.009
1199164200000,833.042,833.144,833.021,833.128,0.0133
1199164500000,833.098,833.102,833.03,833.102,0.0054
1199164800000,833.116,833.165,832.997,833.048,0.0127
1199165100000,833.047,833.169,832.952,833.125,0.021
1199165400000,833.05,833.196,833.007,833.043,0.0177
1199166000000,833.047,833.127,832.948,833.048,0.0127
1199166300000,833.099,833.122,833.009,833.053,0.0096
1199166600000,833.049,833.147,832.927,833.064,0.0274
1199166900000,833.019,833.165,832.992,833.091,0.0077
1199167200000,833.094,833.168,833.009,833.037,0.0179
1199167500000,833.038,833.151,832.984,833.023,0.0105
1199167800000,833.045,833.188,833.013,833.013,0.0214
1199168100000,833.033,833.085,833.01,833.061,0.0039
1199168400000,833.141,833.195,833.022,833.022,0.0058
1199168700000,833.045,833.132,833.02,833.115,0.0174
1199169000000,833.134,833.134,833.008,833.052,0.0115
1199169300000,833.106,833.132,833.03,833.037,0.0162
1199169600000,833.148,833.148,833.004,833.079,0.0137
1199169900000,833.054,833.155,832.974,833.082,0.0118
1199170200000,833.011,833.162,833.011,833.048,0.0094
1199170500000,833.046,833.22,832.972,833.078,0.0194
1199170800000,833.033,833.133,833.014,833.133,0.0195
1199171100000,833.131,833.266,833.026,833.113,0.0077
1199171400000,833.095,833.195,833.022,833.106,0.0169
1199171700000,833.13,833.149,833.043,833.086,0.0086
1199172000000,833.095,833.153,833.038,833.114,0.0131
1199172300000,833.084,833.174,833.012,833.091,0.0106
1199172600000,833.019,833.183,833.019,833.022,0.0244
1199172900000,832.997,833.131,832.997,833.019,0.0178
1199173200000,833.02,833.098,833.02,833.051,0.0083
1199173500000,833.006,833.137,832.932,832.932,0.0195
1199173800000,833.088,833.156,833.013,833.099,0.0174
1199174100000,833.055,833.144,833.036,833.137,0.024
